"productCode","productname","amount_sold"
S24_1937,"1939 Chevrolet Deluxe Coupe",28052.94
S24_3969,"1936 Mercedes Benz 500k Roadster",29763.39
S24_2972,"1982 Lamborghini Diablo",30972.87
S24_2840,"1958 Chevy Corvette Limited Edition",31627.96
S32_2206,"1982 Ducati 996 R",33268.76
S24_2022,"1938 Cadillac V-16 Presidential Limousine",38449.09
S50_1341,"1930 Buick Marquette Phaeton",41599.24
S24_1628,"1966 Shelby Cobra 427 S/C",42015.54
S72_1253,Boeing X-32A JSF,42692.53
S18_4668,"1939 Cadillac Limousine",44037.84
